name	hex	rarity	family	gate_kind	gate_ref	gate_min	hex2	mode	gloss	sheen	flake	confidence	reasoning
Contract Venom	B4E01C	Common	dark brotherhood	quest	DBSideContract01							medium	DBSideContract01 is the first Dark Brotherhood side contract Nazir hands out, which is the side-job beat the brief asked for; the poison chartreuse is a free read on an assassin's trade.
Jarrin Root Green	9EBE12	Uncommon	dark brotherhood	quest	DB08							medium	Recipe for Disaster is the Gourmet impersonation where Jarrin Root goes into the Potage, so the poison is stated; the virulent green is my read of it.
Night Mother's Veil	330058	Uncommon	dark brotherhood	quest	DB04							high	Whispers in the Dark is the quest where the Night Mother speaks from her coffin and names you Listener, so she is the quest's own subject.
Shrouded Crimson	AA1038	Common	dark brotherhood	quest	DB02a							medium	Sanctuary is the quest where the family takes you in and hands you the Shrouded Armour, whose red wraps this brightens rather than matches exactly.
Sithis Black	140306	Rare	dark brotherhood	quest	DB11		5A0A1A	iridescent	230	A03050		high	Hail Sithis! is the Listener's final contract and is named for the Dread Father of the Void, so a near-black is the quest's own colour.
Aetherium Glow	4FC3E8	Rare	dawnguard	quest	DLC1LD		A0F0FF	iridescent	240	FFFFFF	255	high	Lost to the Ages is Dawnguard's standalone questline, open to both branches, and ends at the Aetherium Forge whose crystal glows this blue-cyan.
Ancestor Moth Pale	C9D6B4	Uncommon	dawnguard	quest	DLC1VQ06							high	Unseen Visions is the shared Ancestor Glade quest where the player harvests ancestor moths for the Elder Scroll reading; the pale moth-wing green follows directly.
Bloodgift Scarlet	E02B4A	Uncommon	dawnguard	quest	DLC1RV06							high	The Gift is the Volkihar-only quest where the player turns a mortal into a vampire; fresh arterial scarlet is the obvious read of that bite.
Cleansing Light	FFEFA8	Uncommon	dawnguard	quest	DLC1RH02							high	DLC1RH02 is the Dawnguard-only quest of that name, burning out a vampire lair; a pale gold light is the literal read of the title.
Dayspring Gold	F2B705	Rare	dawnguard	quest	DLC1HunterBaseIntro							high	A New Order is the Dawnguard-side joining beat and Fort Dawnguard sits in Dayspring Canyon, so the name and the gate come from the same place; the exact gold is my pick.
Gunmar's Forge	B5502A	Uncommon	dawnguard	quest	DLC1HunterBaseStage2							medium	Bolstering the Ranks is the Dawnguard-only recruitment quest that brings Gunmar the smith to the fort; forge-ember orange is my read, not a stated colour.
Harkon's Wrath	6E0424	Rare	dawnguard	quest	DLC1RV10		C01840	iridescent	225	F04060		high	Destroying the Dawnguard is the Volkihar-only capstone against Fort Dawnguard, so it earns the vampire side's Rare; the deep arterial red is my pick.
Night Power Amethyst	7B23D6	Uncommon	dawnguard	quest	DLC1RV09							high	Amulets of Night Power is a Volkihar-only errand for Feran Sadri and the name is taken straight from it; the violet is the arcane read.
Serana's Sigil	2C4FCE	Uncommon	dawnguard	quest	DLC1VQ01							medium	Awakening is the shared opening both branches complete, ending on Dimhollow's glowing monolith; the cold blue is my read of that light.
Sorine's Spark	3D7EA6	Uncommon	dawnguard	quest	DLC1RH05							medium	Ancient Technology is Sorine Jurard's Dwemer crossbow upgrade line and is Dawnguard-side only; the arc-blue is a strong read on Dwemer machinery rather than a stated colour.
Volkihar Frost	9CC3E8	Uncommon	dawnguard	quest	DLC1RV01							medium	The Hunt is Harkon's first task and is Volkihar-only; the icy blue comes from Castle Volkihar's frozen isle rather than from the quest itself.
All-Maker Blue	1A5CE8	Uncommon	dragonborn	quest	DLC2MQ03B							high	Stated: the quest is freeing the All-Maker Stones from Miraak, and each one answers with a blue burst as it clears.
Apocrypha Green	9AD41C	Uncommon	dragonborn	quest	DLC2MQ04							high	Stated: the quest takes the Black Book from Nchardak into Apocrypha, whose sky and sea are a sickly green.
Bend Will Violet	6A3FD8	Uncommon	dragonborn	quest	DLC2MQ05							medium	Stated pairing, read colour: Storn dies to give you the last word of Bend Will in this quest, and the shout's energy reads violet-blue.
Miraak's Teal	007C7C	Rare	dragonborn	quest	DLC2MQ06		00D8B0	iridescent	230	5FF0D0		medium	Stated pairing, read colour: this is Miraak's defeat, and his robes and mask are the deep sea-teal of the family's Solstheim capstone.
Redoran Bonemold	D8C864	Common	dragonborn	quest	DLC2MQ01							medium	Strong read: the quest lands you at Raven Rock, a House Redoran colony whose guards wear bonemold; Common because arriving on Solstheim is a low bar.
Alftand Rime	6CBCD9	Rare	great ruin	locationCleared	AlftandLocation							medium	Strong read, not stated: Alftand is the ice-choked Dwemer spiral, glacier blue reads as the frozen descent rather than the brass.
Bloodlet Plum	750751	Common	great ruin	locationCleared	BloodletThroneLocation							medium	Strong read, not stated: a vampire seat under Falkreath earns a dark blood-plum, deliberately purpled because the plain blood reds are already taken.
Broken Oar Brine	0BBA74	Common	great ruin	locationCleared	BrokenOarGrottoLocation							medium	Strong read, not stated: a flooded pirate grotto holding a wrecked ship earns a bright brine green rather than another grey sea colour.
Darklight Witchfire	D115BE	Uncommon	great ruin	locationCleared	DarklightTowerLocation							low	Free pick that reads well: nothing in the hagraven coven states magenta, but a hot unnatural witchfire suits clearing a tower of hagravens.
Fellglow Witchlight	6855C9	Uncommon	great ruin	locationCleared	FellglowKeepLocation							medium	Strong read, not stated: Fellglow is a keep of conjurers and necromancers, and the arcane blue-violet reads as their casting light.
Golden Claw Lustre	D9BC04	Common	great ruin	locationCleared	BleakFallsBarrowLocation							high	Stated pairing: the Golden Claw is the gold artifact recovered inside Bleak Falls Barrow, so a bright brassy gold is named for a thing the barrow actually contains.
Hevnoraak's Blight	90AB0A	Uncommon	great ruin	locationCleared	ValthumeLocation							medium	Strong read, not stated: Hevnoraak lies in Valthume and his legend is plague and drained blood, so a sickly chartreuse blight reads as his tomb.
Lost Valley Green	24A32C	Uncommon	great ruin	locationCleared	LostValleyRedoubtLocation							medium	Strong read, not stated: the redoubt is the one lush waterfall valley in the Reach, so a living green is the colour the place actually is.
Nchardak Deep	037C85	Rare	great ruin	locationCleared	DLC2NchardakLocation							medium	Strong read, not stated: Nchardak is the drowned Dwemer city you drain to cross, so deep water teal reads as the place itself.
Raldbthar Ember	BA5304	Uncommon	great ruin	locationCleared	RaldbtharLocation							medium	Strong read, not stated: Raldbthar is a working Dwemer excavation full of rusted machinery, so a hot ember orange reads as its forge-and-rust interior.
Redwater Skooma	D90D51	Uncommon	great ruin	locationCleared	DLC1RedwaterDenLocation							high	Stated pairing: the den is named for the red skooma brewed there, so a vivid glowing red is the thing itself rather than an association.
Tolvald's Glowcap	7CF7CE	Common	great ruin	locationCleared	TolvaldsCaveLocation							medium	Strong read, not stated: the cave is a Falmer warren lit by glowing mushrooms, and the pale luminous mint is that mushroom light.
Vahlok's Vigil	16167D	Rare	great ruin	locationCleared	DLC2VahloksTombLocation							low	Free pick that reads well: nothing states a colour for the Jailor who held Miraak's memory, but a deep unmoving indigo suits a watch kept for an age.
Yngvild Wraithlight	D6C7FF	Common	great ruin	locationCleared	YngvildLocation							medium	Strong read, not stated: Arondil's ice cave is full of raised ghost thralls, so a pale spectral lilac reads as what haunts it.
Blackreach Bloom	E0105C	Uncommon	main quest	quest	MQ205							medium	Strong read: Elder Knowledge is the descent into Blackreach, the only place crimson nirnroot grows, and its glow is the one colour down there nothing else uses.
Dragonsoul Gold	FCB400	Uncommon	main quest	quest	MQ104							high	Stated: Dragon Rising ends with the first dragon slain and its soul absorbed, and the soul streams into the player as a hot gold light.
Draugr Eye Blue	6FC9E8	Uncommon	main quest	quest	MQ103							medium	Strong read: Bleak Falls Barrow is the first draugr crypt, and the pale glow of a waking draugr's eyes is what players remember of it.
Elenwen's Vintage	74004C	Uncommon	main quest	quest	MQ201							medium	Strong read: the quest infiltrates Elenwen's party at the Thalmor Embassy, so a dark poured wine is the beat rather than another Thalmor black.
Helgen Ember	E83800	Common	main quest	quest	MQ101							high	Stated: Unbound is the escape from Helgen while Alduin burns it, so scorched fire-orange is the quest's own image; Common because every character finishes it.
High Hrothgar Slate	52708C	Uncommon	main quest	quest	MQ105							medium	Strong read: the quest is the summons to the Greybeards, and cold wet monastery stone above the clouds is the colour of that climb.
Paarthurnax's Frost	D0C8FC	Uncommon	main quest	quest	MQ204							high	Stated: this is the quest where you meet Paarthurnax, an old frost-covered dragon, at the Time-Wound on the summit.
Sovngarde Mist	5AE8C4	Uncommon	main quest	quest	MQ304							high	Stated: the quest is Sovngarde itself, and the luminous green mist between the player and the Hall of Valor is its signature.
World-Eater's End	FCF0A4	Rare	main quest	quest	MQ305		FFD000	nacre	240	FFFFC0	220	medium	Strong read on the main quest's ending: Alduin comes apart in a burst of white-gold light, so the capstone is that light rather than another near-black.
Eldergleam Sap	7FC93A	Uncommon	quest	quest	T03							high	T03 is The Blessings of Nature, the Eldergleam Sanctuary quest that restores the Gildergreen; the luminous sap-green comes straight from the tree.
Lovers' Knot	E8698A	Common	quest	quest	t02							high	t02 is The Book of Love, Dinya Balu's Mara pilgrimage across three couples; a warm rose is the direct read and the quest is early enough to be Common.
Mara's Blessing	2E8B8B	Uncommon	quest	quest	RelationshipMarriage							high	Deliberate reuse of RelationshipMarriage (already gating eso:falinesti-green) because the brief asked for the marriage quest; the blue-green is the Amulet of Mara's stone rather than the green already taken.
Butcher's Crimson	A81436	Uncommon	skyrim tales	quest	MS11							high	Deliberate reuse of MS11 (already gating eso:windhelm-steel) because Blood on the Ice was named in the brief; the arterial crimson is the murder itself rather than Windhelm's grey stone, so the two swatches read as different halves of the same quest.
Dragonsreach Gold	D9C21F	Uncommon	skyrim tales	quest	Favor253							high	Favor253 is the Thane of Whiterun quest itself, and Dragonsreach is that title's hall; Whiterun's guard yellow is the read.
Reach Heather	8B4E9E	Uncommon	skyrim tales	quest	MS01							medium	Deliberate reuse of MS01 (already gating eso:darkstorm-emerald) since the brief named the Forsworn Conspiracy; heather-purple is my read of the Reach's moors, not a stated colour.
Wolf Queen's Shroud	8A7FB8	Rare	skyrim tales	quest	MS06							medium	Deliberate reuse of MS06 (already gating eso:blood-gold) because it is the ending of the Potema arc and earns a Rare; the spectral violet is my read of her shade.
Beast Blood	780A22	Uncommon	the companions	quest	C02							high	Brotherhood is literally the Underforge blood ritual that turns you werewolf, so the beast blood is the quest's own subject.
Glenmoril Moss	5A8020	Uncommon	the companions	quest	C04							medium	Blood's Honor sends you to Glenmoril Coven for the witch heads, which fixes the place; the hag-green is a strong read rather than a stated colour.
Jorrvaskr Mead	AE6C0A	Common	the companions	quest	C00							medium	Take Up Arms is the Companions' induction and Jorrvaskr is their mead hall, so the pairing is stated; the amber itself is my read of the mead, not the source's.
Silver Hand Steel	D2DCE8	Uncommon	the companions	quest	C03							high	The quest is named for the silver-armed werewolf hunters, so a cold pale silver is the source's own colour.
Skyforge Ember	C05018	Rare	the companions	quest	C06		F0A030	nacre	230	FFD080	150	medium	Glory of the Dead is the quest that makes you Harbinger and ends with Eorlund reforging Wuuthrad, so the Skyforge is stated; the ember tone is my read.
Cistern Verdigris	147A6E	Common	thieves guild	quest	TG01							medium	Taking Care of Business is the quest that earns full membership and the guild leathers in the Cistern; the copper-patina green is a free read of that flooded hall.
Falmer Eye Sapphire	2A62D8	Uncommon	thieves guild	quest	TG08B							high	Blindsighted ends at Irkngthand beneath the Eyes of the Falmer, which are enormous sapphires, so the stone is the quest's own prize.
Goldenglow Honey	F2B85A	Uncommon	thieves guild	quest	TG02							high	Loud and Clear is the Goldenglow Estate job against Aringoth's beehives, so honey gold comes straight from the quest.
Guild Master's Plum	6E0A58	Rare	thieves guild	quest	TGLeadership		C070B0	nacre	225	E8A0D8		low	Under New Management is exactly the quest that names you Guildmaster, but the plum is a free pick reading as restored guild wealth, with no source basis.
Nightingale Shadow	0E2E38	Rare	daedric prince	quest	TG09		2A8FA0	iridescent	230	4FD0E0		high	Stated by the armour: Nightingale gear is black shot through with dark teal-blue, and TG09 "Darkness Returns" is the Nightingale ending where Nocturnal herself appears; TG09 is unclaimed (only TG00 and TGLeadership are taken).
Nightingale Wing	101070	Uncommon	thieves guild	quest	TG08A							high	Trinity Restored is where you swear the Nightingale oath and are given the armour, whose deep blue-black this matches.
