name	display_name	hue	rarity	hex	eso_achievement
Pact Fisher Red	Rift Autumn	Red	Uncommon	BF5656	Pact Fisherman
Strangler Maw Red		Red	Uncommon	A63A3A	Shadowfen Master Explorer
Kresh Flower Red		Red	Uncommon	993E35	Grand Master Crafting Harvester
Flame-Knight Light Red		Red	Uncommon	994B44	Stormhaven Master Explorer
Riften Copper		Red	Uncommon	996044	Shattered Remnants
Deceit Orange		Red	Uncommon	995B3D	Easy as Pie
Senche-Tiger Orange		Red	Uncommon	994F2D	Hallowed Moons
Marshnettle Titian		Red	Uncommon	DD5918	Savior of Blackwood
Enchanter Tangerine		Red	Uncommon	733B22	Master Enchanter
Champion Red		Red	Uncommon	72231C	Fighters Guild Veteran
Jode Red		Red	Uncommon	721C28	Reaper's March Master Explorer
Red Diamond Red		Red	Uncommon	721C1C	The Valley of Blades
Regicide Red		Red	Uncommon	4B2121	Emperor Slayer
Pact Conqueror Red	Assassin's Crimson	Red	Uncommon	4B1313	Ebonheart Pact Conqueror
Ruckus Rust		Red	Uncommon	491600	Ruckus Favored
Craglorn Crimson	Reach Crimson	Red	Uncommon	481219	Lower Craglorn Master Explorer
Somber Cerise		Red	Uncommon	792C3F	Imperial City Warlord
Fire Drake's Flame		Red	Uncommon	931818	Pit Hero
Starlight Gold		Yellow	Uncommon	B1955E	Dawn of a Champion
Hlaalu Gold		Yellow	Uncommon	99774B	Plague Eater
Evermore Gold		Yellow	Uncommon	BF9660	End of Empire
Mastic Yellow		Yellow	Uncommon	CC9B5B	Legendary Woodworker
Glittering Gold		Yellow	Uncommon	CFAC3B	Goad Favored
10-Year Anniversary Gold Leaf	Gold Leaf	Yellow	Uncommon	99803D	Commemorative Safebox Looter
Craftmaster Gold		Yellow	Uncommon	725734	Master Deconstructor
Hunding Gold		Yellow	Uncommon	4B3A21	Stros M'kai and Betnikh Explorer
Sulfur Pools Yellow		Yellow	Uncommon	BFB856	Eastmarch Master Explorer
Dominion Fisher Yellow	Whiterun Wheat	Yellow	Uncommon	BFB52F	Dominion Fisherman
Woodworker Yellow		Yellow	Uncommon	999344	Master Woodworker
Alchemist Bilious		Yellow	Uncommon	726D1C	Master Alchemist
Dominion Conqueror Yellow	Markarth Brass	Yellow	Uncommon	4B4813	Aldmeri Dominion Conqueror
Antique Brass		Yellow	Uncommon	BA7E2E	The Sublime Protector
Anequina Sunrise		Yellow	Uncommon	FF7C0E	Savior of Elsweyr
10-Year Anniversary Ivory	Aged Ivory	Yellow	Uncommon	E6DFCF	Commemorative Mundus Missionary
Doomcrag Verdigris		Green	Uncommon	34726D	Curse Breaker
Thousand Eyes Ichor		Green	Uncommon	347062	Eyes Favored
Dominion Vanquisher Green	Falkreath Green	Green	Uncommon	34724D	Vanquisher of the Dominion
Falinesti Green		Green	Uncommon	1A6C35	Matchmaker
Vine Green		Green	Uncommon	56BF77	Glenumbra Master Explorer
Glenbridge Green		Green	Uncommon	649A5D	Rockgrove Vanquisher
Nibenay Trout Green		Green	Uncommon	6E9944	Cyrodiil Angler
Hist Green		Green	Uncommon	5D9926	Egg and Root
Forest Footpad Green		Green	Uncommon	608342	Sneak Thief Extraordinaire
Arc Master Moss		Green	Uncommon	59590F	Arcing Onward
Wyrd Tree Green		Green	Uncommon	605D34	Ritual Destruction
Shell-Tide Green		Green	Uncommon	3B601C	Hero of Western Solstice
Silvenar Green		Green	Uncommon	364B21	Malabal Tor Master Explorer
Pit Daemon's Poison		Green	Uncommon	3D4634	Grand Relic Hunter
Mora's Mauve		Green	Uncommon	5BC80C	Grand Arcanist Slayer
Welkynd Blue		Blue	Uncommon	2FBFB1	Spirit of the Bosmer
Eyevea Blue	Arcanaeum Blue	Blue	Uncommon	1C5B72	Arch-Mage
Smith Steel Blue		Blue	Uncommon	213A4B	Master Blacksmith
Ransacker Blue		Blue	Uncommon	21314B	Superior Ransacker
Soulseeker Blue		Blue	Uncommon	232B4B	Hero of Eastern Solstice
Covenant Conqueror Blue	Eastmarch Night	Blue	Uncommon	122546	Daggerfall Covenant Conqueror
Netch Jelly Blue		Blue	Uncommon	56A1BF	Bleakrock and Bal Foyen Explorer
Wisp Blue		Blue	Uncommon	5691BF	Bangkorai Master Explorer
Covenant Fisher Blue	Winterhold Blue	Blue	Uncommon	4373BF	Covenant Fisherman
Alik'r Lapis		Blue	Uncommon	32486D	Consecrated Ground
Indoril Blue		Blue	Uncommon	1C3D72	Deshaan Master Explorer
Tainted Turquoise		Blue	Uncommon	13376B	Imperial Transgressions
New Life Cerulean	Frostfall Cerulean	Blue	Uncommon	7C8EC6	New Life Celebrant
Shrike Blue		Blue	Uncommon	5785EB	Savior of Summerset
Scholarium Cerulean		Blue	Uncommon	159BC7	Pen is Mightier than the Sword
Lucentshard Azure		Blue	Uncommon	119D91	Lucent Citadel Vanquisher
Wayrest Royal Purple		Purple	Uncommon	3B3472	Rude Awakening
Ironweed Violet		Purple	Uncommon	B161B0	Legendary Clothier
Haunted Moor Mauve		Purple	Uncommon	9C56BF	Rivenspire Master Explorer
Covenant Vanquisher Violet	Riften Amethyst	Purple	Uncommon	5D3472	Vanquisher of the Covenant
Dolorous Indigo		Purple	Uncommon	4D265E	Ossein Cage Vanquisher
Pillager Purple		Purple	Uncommon	492049	Epic Acquirer
Dibella's Blush		Purple	Uncommon	994467	Greenshade Master Explorer
Master Adventurer Purple		Purple	Uncommon	6B3148	Master Adventurer
Clothier Purple		Purple	Uncommon	4B132A	Master Clothier
Nightshade Purple		Purple	Uncommon	441544	Chainbreaker
Stormlord's Lightning		Purple	Uncommon	573464	Grand Standard-Bearer
Telvanni Brown		Brown	Uncommon	724B34	Stonefalls Master Explorer
Murder Mahogany		Brown	Uncommon	996444	Kill a Grand Overlord
Mammoth Fur Brown		Brown	Uncommon	CC885B	The Rift Master Explorer
Provisioner Brown		Brown	Uncommon	C27157	Master Provisioner
Graht-Bark Brown		Brown	Uncommon	573724	Grahtwood Master Explorer
Adventurer Brown		Brown	Uncommon	6E4232	Adventurer
Pact Vanquisher Brown	Hjaalmarch Clay	Brown	Uncommon	72311C	Vanquisher of the Pact
Brewer's Ale Brown		Brown	Uncommon	451E11	Master Chef
Colovian Deep Brown		Brown	Uncommon	472916	Cyrodiil Cave Delver
Dusky Bronze		Brown	Uncommon	5E3D2A	Horror of Horrors
Telvanni Walnut		Brown	Uncommon	4B2113	Hero of Necrom
Polished Steel Gray		Grey	Uncommon	8B8B8B	Master of Refinement
Windhelm Steel		Grey	Uncommon	585858	Blood Feud
Prefect's Gray		Grey	Uncommon	4B4B4B	Alliance War Prefect
Thalmor Black		Grey	Uncommon	2B2B2B	Iconoclast
10-Year Anniversary Ebon Leather	Ebon Leather	Grey	Uncommon	242424	Commemorative Activity Achiever
Stendarr White		Grey	Uncommon	AED2D9	Master Monster Slayer
Moonstone White		Grey	Uncommon	ADC7CC	Trait Master
Earthforge Iron Gray		Grey	Uncommon	69868B	Legendary Blacksmith
Tribune's Steel		Grey	Uncommon	3D4A4B	Alliance War Tribune
Maormer-Eyes Gray	Slaughterfish Grey	Grey	Uncommon	222A2B	Auridon Master Explorer
Varla White		Grey	Uncommon	CBB6AC	A Rule Unquestioned
Ashland Gray		Grey	Uncommon	947E75	Hearts of Darkness
Ash'abah Hood Gray		Grey	Uncommon	8B7970	Alik'r Desert Master Explorer
Shadowfoot Gray		Grey	Uncommon	584E4B	Felonious Recompense
Tower White-Gold		Grey	Uncommon	97999B	Blockbuster
Soul Shriven Pale	Soul Cairn Pale	Grey	Uncommon	D9C4B7	Coldharbour Master Explorer
Antique Silver		Mixed	Uncommon	DFDBC6	Master Jewelry Crafter
Chivalric Silver		Mixed	Uncommon	4D565D	Savior of High Isle
West Weald Autumnal Orange		Iridescent	Uncommon	E69E18	Hero of the Gold Road
Mad God's Berry		Iridescent	Uncommon	A383D8	Madness Catcher
Dragonstar Red		Red	Rare	762230	Time Trial: Hel Ra Citadel
Syffim Red		Red	Rare	863C35	Fighters Guild Skill Master
General's Gold		Red	Rare	7B3C1F	Alliance War General
Sigil Orange		Red	Rare	8B3E1B	City of Ash II Conqueror
Pact Blood Red	Reachman Red	Red	Rare	632222	Hero of the Ebonheart Pact
Warlord's Red	Chieftain's Red	Red	Rare	56231F	Alliance War Warlord
Ruby Throne Red		Red	Rare	531111	Emperor!
Nirncrux Red		Red	Rare	461919	Learn the Nirnhoned Trait
Daedric Red		Red	Rare	310E0E	General Executioner
Magnus Setting Red		Red	Rare	7C1E1A	Veteran White-Gold Tower
Bloodroot Wine		Red	Rare	BA2D11	Horns of the Reach Delver
Apricot Outrage		Red	Rare	75240A	Blackrose Prison Vanquisher
Scintillating Scarlet		Red	Rare	B11305	Flames of Ambition Delver
Cardsharp Crimson		Red	Rare	2D0303	Roister's Club Master
Artifact-Hunter Amber		Red	Rare	330507	Retribution Takes Time
Dominion Yellow	Thalmor Gold	Yellow	Rare	805A27	Hero of the Aldmeri Dominion
Grand Overlord's Brass	Legion Brass	Yellow	Rare	966E3C	Alliance War Grand Overlord
Ayleid Gold		Yellow	Rare	533D1C	Aldmeri Master Explorer
Dwarven Brass		Yellow	Rare	4F3318	Dwemer Style Master
Akatosh's Scales Gold		Yellow	Rare	BBBD7B	Complete All Speed Challenges
Colossus Brass		Yellow	Rare	A5773A	Halls of Fabrication Completed
Glacial Topaz		Yellow	Rare	714E15	Wrathstone Delver
Patron's Gold		Yellow	Rare	B8870F	Tales of Tribute Master
Aurora Green		Green	Rare	238F62	Time Trial: Aetherian Archive
Orichalc Green		Green	Rare	3F3E29	Daggerfall Master Explorer
Ophidian Jade		Green	Rare	123E24	Sanctum Ophidia Completed
Putrid Flesh Teal		Green	Rare	418B60	Veteran Imperial City Prison
Viridian Venom		Green	Rare	121D0C	Toxicologist
Hazardous Chartreuse		Green	Rare	CAF079	Stonethorn Delver
Darkstorm Emerald		Green	Rare	006042	Savior of the Reach
Sunforge Patina		Green	Rare	DAF671	Hero of Fargrave
Drowned Cobalt		Green	Rare	032D03	Ascending Tide Delver
Roister's Cerulean		Green	Rare	0A4D38	Tales of Travel
Brightfern Green		Green	Rare	054E0A	Lost Depths Delver
Necromancer Blue		Blue	Rare	76A6A3	Radiant Champion
Aetherial Blue		Blue	Rare	5195A2	Tamriel Skyshard Hunter
Entoloma Blue		Blue	Rare	549994	Truly Legendary
Arcane Blue		Blue	Rare	1D4356	Mages Guild Skill Master
Mundus Blue		Blue	Rare	6F83AA	Weekly Trial Complete
Covenant Blue	Windhelm Blue	Blue	Rare	222B54	Hero of the Daggerfall Covenant
Superior Blue		Blue	Rare	222E42	Superior Attire
Stalhrim Chrome		Blue	Rare	11BFAE	Wolfhunter Delver
Abyssal Beryl		Blue	Rare	3698C4	Maw of Lorkhaj Completed
Vehk's Mystic Blue		Blue	Rare	116DA8	Champion of Vivec
Blackreach Blue		Blue	Rare	1C54B6	Savior of Western Skyrim
Scrivener's Ultramarine		Blue	Rare	002433	Scribes of Fate Delver
Celestial Violet		Purple	Rare	7E6A84	Time Trial: Weekly
Indomitable Violet		Purple	Rare	554454	Indomitable Adventurer
Grand Warlord's Violet	Nightfall Violet	Purple	Rare	232345	Alliance War Grand Warlord
Contraband Violet		Purple	Rare	541486	Black Market Mogul
Voidstone Violet		Purple	Rare	110F31	Complete All Death Challenges
Slaughterfish Flesh Pink		Purple	Rare	A0708B	Master Fisher
Epic Violet		Purple	Rare	37192D	Epic Attire
Overlord's Purple	Vaermina's Purple	Purple	Rare	2D072D	Alliance War Overlord
Transliminal Violet		Purple	Rare	41387C	Imperial Lightbringer
Blademaster's Mauve		Purple	Rare	64418B	Maelstrom Arena Champion
Nacreous Purple		Purple	Rare	7F6389	Dragon Bones Delver
Bedlam Purple		Purple	Rare	1D1542	Cloudrest Conqueror
Moonshadow Orchid		Purple	Rare	AE9DBA	Waking Flame Delver
Pyandonean Purple		Purple	Rare	801380	Dreadsail Reef Vanquisher
King Orgnum's Wine		Purple	Rare	693867	Savior of Galen
Sanity's Orchid		Purple	Rare	693867	Sanity's Edge Vanquisher
Scaled Court Brown	Dragon Cult Brown	Brown	Rare	A17F7C	Time Trial: Sanctum Ophidia
Undaunted Bronze	Delver's Bronze	Brown	Rare	80543A	Undaunted Skill Master
Atmoran Bronze		Brown	Rare	6D3B1F	Ebonheart Master Explorer
Motif Master Brown		Brown	Rare	382514	Rare Style Master
Julianos White		Grey	Rare	CCCCCC	Aetherian Archive Completed
Lamae's White		Grey	Rare	B0B0B0	Vampirism Master
Lycanthrope Gray		Grey	Rare	7C7C7C	Lycanthropy Master
Legate's Black		Grey	Rare	171919	Alliance War Legate
Adamantine Silver		Grey	Rare	93A8AD	Dragonstar Arena Conqueror
Cyrodilic Steel		Grey	Rare	43535A	Cyrodiil Champion
Warrior's Steel		Grey	Rare	35333E	Hel Ra Citadel Completed
Palatine's White	Bone White	Grey	Rare	D1BCB0	Alliance War Palatine
Liar's Linen		Grey	Rare	ABA19B	I Like M'aiq
Nirnroot Gray		Grey	Rare	9B8C83	Botanist
Coldharbour Ash Black		Grey	Rare	231F1D	The God of Schemes
Marble White		Grey	Rare	F9F0FF	Excavation Virtuoso
Void Pitch		Grey	Rare	000000	Honor to the Spiritblood
Divine Gold		Mixed	Rare	D6B14B	Legendary Jewelry Crafter
Blood Gold		Iridescent	Rare	DDA3A0	Queenmaker
Hollowfang Cruor		Iridescent	Rare	300503	Scalebreaker Delver
Pellitine Coral		Iridescent	Rare	AC3342	Return of the Dragonguard
Frozen Blood		Iridescent	Rare	D3C2BB	Harrowstorm Delver
Weathered Keystone Green		Iridescent	Rare	4B7066	Mining Tunes
Anu White		Iridescent	Rare	E6EBC1	Seasoned Monster Slayer
Brassy Brass		Iridescent	Rare	95640F	Seasoned Construct Slayer
Boethian Ash		Iridescent	Rare	3D2750	Seasoned Daedra Slayer
Brigand Brown		Iridescent	Rare	38180C	Seasoned Humanoid Slayer
Vinebeard Green		Iridescent	Rare	16772D	Seasoned Nature Slayer
Draugr Flesh		Iridescent	Rare	AADFE2	Seasoned Undead Slayer
Rank 1 Materials	Iron Grey	Mixed	Material	404C58	Rank 1 Deconstruction Analyst
Rank 2 Materials	Steel Grey	Mixed	Material	676767	Rank 2 Deconstruction Analyst
Rank 3 Materials	Orcish Olive	Mixed	Material	4C502F	Rank 3 Deconstruction Analyst
Rank 4 Materials	Dwarven Bronze	Mixed	Material	76572B	Rank 4 Deconstruction Analyst
Rank 5 Materials	Quicksilver Blue	Mixed	Material	5A676D	Rank 5 Deconstruction Analyst
Rank 6 Materials	Tanned Hide	Mixed	Material	6F573B	Rank 6 Deconstruction Analyst
Rank 7 Materials	Boiled Leather	Mixed	Material	4B321E	Rank 7 Deconstruction Analyst
Rank 8 Materials	Malachite Green	Mixed	Material	3C554F	Rank 8 Deconstruction Analyst
Rank 9 Materials	Ebony Black	Mixed	Material	270915	Rank 9 Deconstruction Analyst
Rank 10 Materials	Daedric Ember	Mixed	Material	630E0B	Rank 10 Deconstruction Analyst
Alik'r Sand		Yellow	Dye Stamp	C8B848	Dye Stamps only
Avocado Green		Green	Dye Stamp	0B6915	Dye Stamps only
Baked Ash Yam Orange		Red	Dye Stamp	E67708	Dye Stamps only
Black is the Darkest Gray		Grey	Dye Stamp	1A012F	Dye Stamps only
Bunny Nose Pink		Purple	Dye Stamp	FFDDDC	Dye Stamps only
Butterscotch Ale		Yellow	Dye Stamp	DA9D38	Dye Stamps only
Chorrol Cheddar		Yellow	Dye Stamp	F8CA24	Dye Stamps only
Clover Lawn		Green	Dye Stamp	437A33	Dye Stamps only
Comberry Crimson		Red	Dye Stamp	9E070C	Dye Stamps only
Crown Gold	Jarl's Gold	Yellow	Dye Stamp	987908	Dye Stamps only
Elven Gore Red		Red	Dye Stamp	A30F0F	Dye Stamps only
Frostfroth Gray		Grey	Dye Stamp	E1EFF0	Dye Stamps only
Gilt-y Pleasure		Yellow	Dye Stamp	C6B880	Dye Stamps only
Guar Tongue Pink		Purple	Dye Stamp	F2AFE6	Dye Stamps only
Harlequin Heliotrope		Purple	Dye Stamp	3A2169	Dye Stamps only
Hint of Mint		Grey	Dye Stamp	E0FAE3	Dye Stamps only
Hundred Pumpkin Orange		Red	Dye Stamp	D45226	Dye Stamps only
Iliac Bay Blue		Blue	Dye Stamp	919ED6	Dye Stamps only
Immaculate White		Grey	Dye Stamp	FFFFFF	Dye Stamps only
Jolly Aubergine		Purple	Dye Stamp	75469C	Dye Stamps only
Karth Ivy Green		Green	Dye Stamp	07770A	Dye Stamps only
Lil' Peep Yellow		Yellow	Dye Stamp	F0EF7E	Dye Stamps only
Pale Pink Gray		Purple	Dye Stamp	FBF0F9	Dye Stamps only
Pastel Sky		Blue	Dye Stamp	BCE8F4	Dye Stamps only
Patriots' Blood		Red	Dye Stamp	B30F07	Dye Stamps only
Red Sangria		Red	Dye Stamp	741E1B	Dye Stamps only
Roasted Yellow Squash		Yellow	Dye Stamp	F2DA62	Dye Stamps only
Star-Made Gold		Yellow	Dye Stamp	F2D444	Dye Stamps only
Surilie Wine		Purple	Dye Stamp	9E2D8A	Dye Stamps only
True Blue		Blue	Dye Stamp	0F1AA3	Dye Stamps only
Week-Old Bruise Purple		Purple	Dye Stamp	460A79	Dye Stamps only
Cranberry Red		Red	Dye Stamp	850F0F	Dye Stamps only
